6.637540398706409661e-01,5.291712365182641431e-01,7.167630057803467958e-01,7.847056982532264469e-01,5.772815562961581826e-01
6.203118745481391860e-01,5.328755546431482859e-01,7.246407252352332629e-01,7.875385708100972604e-01,6.210150075307155904e-01
6.638786770949226534e-01,5.367666403367653549e-01,6.170012668765687547e-01,7.322204775312457503e-01,5.415718350769429534e-01
6.668557115213573638e-01,4.762808136191365449e-01,6.214758763178033218e-01,5.248162879820791327e-01,6.433188564589816805e-01
6.088315629901452919e-01,5.372154816705728697e-01,5.711659244254096990e-01,5.234770431995340312e-01,5.743659928805210368e-01
4.987706973952011347e-01,5.434987036784157954e-01,5.776368360288216541e-01,4.709421448994661197e-01,4.795017287740006573e-01
4.393204885893123857e-01,3.694761224247336551e-01,5.806143454928877068e-01,5.356006239666382118e-01,4.959107610464835725e-01
3.849365801726532532e-01,3.700605057435398249e-01,5.741253333602563957e-01,4.844477553855547347e-01,5.600032238632133286e-01
3.817813623023856295e-01,3.642974792757787128e-01,6.312320063820112681e-01,4.388072345315341960e-01,5.600032238632133286e-01
3.836250377561646885e-01,3.617045816992016105e-01,5.818428470209457970e-01,4.388072345315341960e-01,4.497912168198970884e-01
3.212931247193301365e-01,4.262946855740590291e-01,5.825032533223056808e-01,3.861300893312065163e-01,4.003550928680144616e-01
3.212931247193301365e-01,4.262946855740590291e-01,4.763574212304700350e-01,3.943146574828475526e-01,4.434223516129479625e-01
3.212931247193301365e-01,4.289527273280542286e-01,5.231961173548498323e-01,3.422568817316113399e-01,4.701044792721587040e-01
3.212931247193301365e-01,4.278144575444284836e-01,4.763574212304700350e-01,3.402541695256594001e-01,3.998424771117873311e-01
3.212931247193301365e-01,3.656150151469955145e-01,4.763574212304700350e-01,3.402541695256594001e-01,3.998424771117873311e-01
